market_id,snapshot_date,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,last_qty,bid_price,bid_qty,ask_price,ask_qty,open_price,high_price,low_price,volume,quote_volume,open_time,close_time,first_id,last_id,count,inserted_at
1,2026-01-06,0.0003400000,0.9960000000,0.0341994000,0.0341300000,0.0344700000,0.9326000000,0.0344600000,27.8589000000,0.0344700000,49.1147000000,0.0341300000,0.0346300000,0.0338200000,13636.6301000000,466.3645015100,2026-01-05 07:36:21.655000 +00:00,2026-01-06 07:36:21.655000 +00:00,520836788,520891066,54279,2026-01-06 08:50:45.802252 +00:00
2,2026-01-06,0.0000000000,0.0000000000,0.0008880100,0.0008900000,0.0008900000,0.4380000000,0.0008900000,33.9580000000,0.0008910000,411.9800000000,0.0008900000,0.0008950000,0.0008770000,13187.0990000000,11.7103108600,2026-01-05 07:36:21.752000 +00:00,2026-01-06 07:36:21.752000 +00:00,106504639,106507905,3267,2026-01-06 08:50:45.802252 +00:00
3,2026-01-06,-0.0000100000,-0.1030000000,0.0096806400,0.0097100000,0.0097000000,0.3780000000,0.0096980000,1.2030000000,0.0096990000,8.2880000000,0.0097100000,0.0097660000,0.0096040000,12766.4370000000,123.5872418400,2026-01-05 07:36:21.948000 +00:00,2026-01-06 07:36:21.948000 +00:00,280935427,280970283,34857,2026-01-06 08:50:45.802252 +00:00
4,2026-01-06,0.0000015200,3.6260000000,0.0000430100,0.0000416700,0.0000434400,68.4400000000,0.0000432600,602.3600000000,0.0000434500,21.9300000000,0.0000419200,0.0000441000,0.0000413100,11107.4000000000,0.4777788500,2026-01-05 07:36:18.421000 +00:00,2026-01-06 07:36:18.421000 +00:00,47784774,47785094,321,2026-01-06 08:50:45.802252 +00:00
5,2026-01-06,0.0000341000,7.7540000000,0.0004836000,0.0004404000,0.0004739000,86.0000000000,0.0004736000,103.7000000000,0.0004770000,131.4000000000,0.0004398000,0.0004975000,0.0004398000,9609.9000000000,4.6473629400,2026-01-05 07:36:21.399000 +00:00,2026-01-06 07:36:21.399000 +00:00,5542247,5542388,142,2026-01-06 08:50:45.802252 +00:00
6,2026-01-06,-0.0000010000,-0.3250000000,0.0002991800,0.0000000000,0.0003067000,8.3000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0003077000,0.0003250000,0.0002816000,391642.7000000000,117.1734344500,2025-12-14 05:23:26.742000 +00:00,2025-12-15 05:23:26.742000 +00:00,23920853,23924852,4000,2026-01-06 08:50:45.802252 +00:00
7,2026-01-06,0.0000023100,15.7250000000,0.0000139600,0.0000000000,0.0000170000,203.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000146900,0.0000453800,0.0000109400,11484111.0000000000,160.3520714500,2025-12-14 05:23:26.742000 +00:00,2025-12-15 05:23:26.742000 +00:00,4106153,4110152,4000,2026-01-06 08:50:45.802252 +00:00
8,2026-01-06,-0.0000190000,-8.5740000000,0.0002179500,0.0000000000,0.0002026000,466.3000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002216000,0.0002359000,0.0001945000,263070.3000000000,57.3368076200,2025-12-14 05:23:26.742000 +00:00,2025-12-15 05:23:26.742000 +00:00,2375783,2379782,4000,2026-01-06 08:50:45.802252 +00:00
9,2026-01-06,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2025-12-14 05:23:26.742000 +00:00,2025-12-15 05:23:26.742000 +00:00,-1,-1,0,2026-01-06 08:50:45.802252 +00:00
10,2026-01-06,0.0000008000,3.5870000000,0.0000231200,0.0000223000,0.0000231000,440.1000000000,0.0000232000,1169.3000000000,0.0000233000,792.6000000000,0.0000223000,0.0000244000,0.0000220000,5571.1000000000,0.1287837100,2026-01-05 07:35:00.686000 +00:00,2026-01-06 07:35:00.686000 +00:00,22908758,22908881,124,2026-01-06 08:50:45.802252 +00:00
11,2026-01-06,-0.0029000000,-1.0190000000,0.2839897300,0.2845000000,0.2816000000,1.0150000000,0.2813000000,5.6260000000,0.2815000000,11.6270000000,0.2845000000,0.2872000000,0.2797000000,3787.2880000000,1075.5508808000,2026-01-05 07:36:21.660000 +00:00,2026-01-06 07:36:21.660000 +00:00,69698132,69711996,13865,2026-01-06 08:50:45.802252 +00:00
12,2026-01-06,854.3300000000,0.9230000000,93603.5611223900,92543.8700000000,93398.2000000000,0.0044700000,93398.1900000000,7.6494800000,93398.2000000000,0.4347100000,92543.8700000000,94789.0800000000,92320.1700000000,16829.0459900000,1575258634.9565503000,2026-01-05 07:36:22.012000 +00:00,2026-01-06 07:36:22.012000 +00:00,5735252983,5740553582,5300600,2026-01-06 08:50:45.802252 +00:00
13,2026-01-06,61.2300000000,1.9390000000,3202.7750270500,3158.0000000000,3219.2300000000,0.0241000000,3219.2300000000,75.6961000000,3219.2400000000,0.1294000000,3158.0000000000,3265.6600000000,3135.0200000000,339545.6940000000,1087488469.2848470000,2026-01-05 07:36:22.011000 +00:00,2026-01-06 07:36:22.011000 +00:00,3414362810,3419505254,5142445,2026-01-06 08:50:45.802252 +00:00
14,2026-01-06,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2025-12-14 05:23:26.742000 +00:00,2025-12-15 05:23:26.742000 +00:00,-1,-1,0,2026-01-06 08:50:45.802252 +00:00
15,2026-01-06,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2025-12-14 05:23:26.742000 +00:00,2025-12-15 05:23:26.742000 +00:00,-1,-1,0,2026-01-06 08:50:45.802252 +00:00
16,2026-01-06,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2025-12-14 05:23:26.742000 +00:00,2025-12-15 05:23:26.742000 +00:00,-1,-1,0,2026-01-06 08:50:45.802252 +00:00
17,2026-01-06,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2025-12-14 05:23:26.742000 +00:00,2025-12-15 05:23:26.742000 +00:00,-1,-1,0,2026-01-06 08:50:45.802252 +00:00
18,2026-01-06,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2025-12-14 05:23:26.742000 +00:00,2025-12-15 05:23:26.742000 +00:00,-1,-1,0,2026-01-06 08:50:45.802252 +00:00
